"Source:"	"D:\GitHub Repos\opena3xx.schematics\opena3xx-mcdu\kicad\opena3xx-mcdu\opena3xx-mcdu.sch"
"Date:"	"03/01/2022 17:42:50"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"149"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"100n"	"Device:C_Small"	"Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2"	"100n"	"Device:C_Small"	"Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C3"	"100n"	"Device:C_Small"	"Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C4"	"100n"	"Device:C_Small"	"Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C5"	"100n"	"Device:C_Small"	"Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"D1"	"GREEN LED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Light emitting diode"	""
"D2"	"YELLOW LED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Light emitting diode"	""
"D3"	"RED LED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Light emitting diode"	""
"D4"	"ORANGE LED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Light emitting diode"	""
"D5"	"FM1 - Amber LED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Light emitting diode"	""
"D6"	"FM2 - Amber LED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Light emitting diode"	""
"D7"	"IND- Amber LED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Light emitting diode"	""
"D8"	"RDY - Green LED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Light emitting diode"	""
"D9"	"FAIL - Amber LED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Light emitting diode"	""
"D10"	"MCDU MENU - WHITE LED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Light emitting diode"	""
"D11"	"FM - White LED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Light emitting diode"	""
"J1"	"Conn_02x01"	"Connector_Generic:Conn_02x01"	"TerminalBlock:TerminalBlock_bornier-2_P5.08mm"	"Generic connector, double row, 02x01, this symbol is compatible with counter-clockwise, top-bottom and odd-even numbering schemes., script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J2"	"Conn_02x01"	"Connector_Generic:Conn_02x01"	"TerminalBlock:TerminalBlock_bornier-2_P5.08mm"	"Generic connector, double row, 02x01, this symbol is compatible with counter-clockwise, top-bottom and odd-even numbering schemes., script generated (kicad-library-utils/schlib/autogen/connector/)"	""
